"dish","date","price","ingredients","location","business"
"Gebratenes Zanderfilet auf Karotten-Lauch-Rahm und Kräuterreis","31.8.2017","7.9","Fish","Adlershof","Jouis Nour"
"Vollkorn-Spaghetti mit Pesto und Tomatenwürfeln","31.8.2017","5.5","Bio;Vegetarian","Adlershof","Jouis Nour"
"Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","17.7.2017","5","Vegetarian","Adlershof","FOOD"
"Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","17.7.2017","6","","Adlershof","FOOD"
"Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","17.7.2017","7","Fish","Adlershof","FOOD"
"Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","18.7.2017","5","Vegetarian","Adlershof","FOOD"
"Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","18.7.2017","6","","Adlershof","FOOD"
"Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","18.7.2017","7","Fish","Adlershof","FOOD"
"Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","19.7.2017","5","Vegetarian","Adlershof","FOOD"
"Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","19.7.2017","6","","Adlershof","FOOD"
"Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","19.7.2017","7","Fish","Adlershof","FOOD"
"Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","20.7.2017","5","Vegetarian","Adlershof","FOOD"
"Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","20.7.2017","6","","Adlershof","FOOD"
"Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","20.7.2017","7","Fish","Adlershof","FOOD"
"Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan","21.7.2017","5","Vegetarian","Adlershof","FOOD"
"Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon","21.7.2017","6","","Adlershof","FOOD"
"Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","21.7.2017","7","Fish","Adlershof","FOOD"
"Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","24.7.2017","5","","Adlershof","FOOD"
"Pasta der Wochemit Pesto, Lachs und Cherrytomaten","24.7.2017","6","Fish","Adlershof","FOOD"
"Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","24.7.2017","7","","Adlershof","FOOD"
"Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","25.7.2017","5","","Adlershof","FOOD"
"Pasta der Wochemit Pesto, Lachs und Cherrytomaten","25.7.2017","6","Fish","Adlershof","FOOD"
"Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","25.7.2017","7","","Adlershof","FOOD"
"Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","26.7.2017","5","","Adlershof","FOOD"
"Pasta der Wochemit Pesto, Lachs und Cherrytomaten","26.7.2017","6","Fish","Adlershof","FOOD"
"Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","26.7.2017","7","","Adlershof","FOOD"
"Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","27.7.2017","5","","Adlershof","FOOD"
"Pasta der Wochemit Pesto, Lachs und Cherrytomaten","27.7.2017","6","Fish","Adlershof","FOOD"
"Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","27.7.2017","7","","Adlershof","FOOD"
"Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","28.7.2017","5","","Adlershof","FOOD"
"Pasta der Wochemit Pesto, Lachs und Cherrytomaten","28.7.2017","6","Fish","Adlershof","FOOD"
"Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","28.7.2017","7","","Adlershof","FOOD"
"Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","31.7.2017","5","Fish","Adlershof","FOOD"
"Gnocchimit Gorgonzola und Bacon","31.7.2017","6","","Adlershof","FOOD"
"Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","31.7.2017","7","Fish","Adlershof","FOOD"
"Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","1.8.2017","5","Fish","Adlershof","FOOD"
"Gnocchimit Gorgonzola und Bacon","1.8.2017","6","","Adlershof","FOOD"
"Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","1.8.2017","7","Fish","Adlershof","FOOD"
"Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","2.8.2017","5","Fish","Adlershof","FOOD"
"Gnocchimit Gorgonzola und Bacon","2.8.2017","6","","Adlershof","FOOD"
"Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","2.8.2017","7","Fish","Adlershof","FOOD"
"Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","3.8.2017","5","Fish","Adlershof","FOOD"
"Gnocchimit Gorgonzola und Bacon","3.8.2017","6","","Adlershof","FOOD"
"Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","3.8.2017","7","Fish","Adlershof","FOOD"
"Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","4.8.2017","5","Fish","Adlershof","FOOD"
"Gnocchimit Gorgonzola und Bacon","4.8.2017","6","","Adlershof","FOOD"
"Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","4.8.2017","7","Fish","Adlershof","FOOD"
"Caprese Salat","7.8.2017","5","Vegetarian","Adlershof","FOOD"
"Spätzlemit Spinat und Bacon","7.8.2017","6","","Adlershof","FOOD"
"Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","7.8.2017","7","","Adlershof","FOOD"
"Caprese Salat","8.8.2017","5","Vegetarian","Adlershof","FOOD"
"Spätzlemit Spinat und Bacon","8.8.2017","6","","Adlershof","FOOD"
"Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","8.8.2017","7","","Adlershof","FOOD"
"Caprese Salat","9.8.2017","5","Vegetarian","Adlershof","FOOD"
"Spätzlemit Spinat und Bacon","9.8.2017","6","","Adlershof","FOOD"
"Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","9.8.2017","7","","Adlershof","FOOD"
"Caprese Salat","10.8.2017","5","Vegetarian","Adlershof","FOOD"
"Spätzlemit Spinat und Bacon","10.8.2017","6","","Adlershof","FOOD"
"Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","10.8.2017","7","","Adlershof","FOOD"
"Caprese Salat","11.8.2017","5","Vegetarian","Adlershof","FOOD"
"Spätzlemit Spinat und Bacon","11.8.2017","6","","Adlershof","FOOD"
"Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","11.8.2017","7","","Adlershof","FOOD"
"LeckererMix-Salatmit Tomaten, Oliven, Fontina und Habanero Dressing","14.8.2017","5","Vegan;Vegetarian","Adlershof","FOOD"
"Pasta all’arrabbiata","14.8.2017","6","","Adlershof","FOOD"
"Das„Road toYucatán“ Sandwichmit Mortadella, Fontina und frische Habanero (red savina)","14.8.2017","7","","Adlershof","FOOD"
"LeckererMix-Salatmit Tomaten, Oliven, Fontina und Habanero Dressing","15.8.2017","5","Vegan;Vegetarian","Adlershof","FOOD"
"Pasta all’arrabbiata","15.8.2017","6","","Adlershof","FOOD"
"Das„Road toYucatán“ Sandwichmit Mortadella, Fontina und frische Habanero (red savina)","15.8.2017","7","","Adlershof","FOOD"
"LeckererMix-Salatmit Tomaten, Oliven, Fontina und Habanero Dressing","16.8.2017","5","Vegan;Vegetarian","Adlershof","FOOD"
"Pasta all’arrabbiata","16.8.2017","6","","Adlershof","FOOD"
"Das„Road toYucatán“ Sandwichmit Mortadella, Fontina und frische Habanero (red savina)","16.8.2017","7","","Adlershof","FOOD"
"LeckererMix-Salatmit Tomaten, Oliven, Fontina und Habanero Dressing","17.8.2017","5","Vegan;Vegetarian","Adlershof","FOOD"
"Pasta all’arrabbiata","17.8.2017","6","","Adlershof","FOOD"
"Das„Road toYucatán“ Sandwichmit Mortadella, Fontina und frische Habanero (red savina)","17.8.2017","7","","Adlershof","FOOD"
